society,price,price_per_sq.ft,bedRoom,bathroom,balcony,floorNum,facing,type,sector,Super_build_area,build_area,Carpet_area,Not available,Study Room,Servant Room,Pooja Room,Others,age,luxury_score,furnishing_type,location_score
maa bhagwati residency,0.45,5000,2,2,1,4.0,West,flat,sector 7,,,900.0,1,0,0,0,0,relatively new,15,1,27
Apna Enclave,0.5,7692,2,2,1,1.0,West,flat,sector 3,,,650.0,1,0,0,0,0,,21,2,34
Tulsiani Easy in Homes,0.4,6722,2,2,3,12.0,,flat,sohna,,,595.0,1,0,0,0,0,New Property,41,1,25
Smart World Orchard,1.47,12250,2,2,2,2.0,,flat,sector 61,,,1200.0,0,1,0,0,0,relatively new,69,1,51
Parkwood Westend,0.7,5204,2,2,3,5.0,,flat,sector 92,1345.0,,,0,1,0,0,0,Under Construction,0,1,5
The Cocoon,2.0,13333,3,3,3,5.0,,flat,dwarka expressway,1500.0,,,1,0,0,0,0,New Property,0,1,16
ATS Triumph,1.8,7860,3,4,3,14.0,,flat,sector 104,,,2290.0,1,0,0,0,0,New Property,62,1,52
Raheja Revanta,4.75,16885,3,3,2,31.0,,flat,sector 78,,2813.0,,0,0,1,0,0,relatively new,69,1,33
Signature Global City 81,0.96,9767,2,2,2,1.0,,flat,sector 81,,,1075.0,1,0,0,0,0,relatively new,28,1,18
HCBS Sports Ville,0.29,5587,2,2,1,4.0,,flat,sohna,,,519.0,1,0,0,0,0,relatively new,27,1,0
Supertech Araville,1.35,6940,3,3,3,4.0,,flat,sector 79,,,1945.0,1,0,0,0,0,relatively new,0,1,5
Shree Vardhman Flora,0.7,5384,2,2,3,13.0,,flat,sector 90,1300.0,,,0,1,0,0,0,New Property,11,1,49
Sobha City,3.95,16859,4,5,3,25.0,,flat,sector 108,,2343.0,2300.0,1,0,0,0,0,,0,1,33
Central Park Flower Valley,2.2,10476,3,3,3,12.0,North-East,flat,sector-33 sohna,2100.0,,,0,0,1,0,0,New Property,28,2,41
Smart World Gems,1.01,9156,2,2,2,4.0,,flat,sector 89,,,1103.0,0,1,0,0,0,New Property,44,1,52
Bestech Altura,1.85,8604,3,4,3+,11.0,North,flat,sector 79,2150.0,,,0,0,1,0,0,New Property,28,1,34
Smart World Gems,0.86,7796,2,3,3,4.0,,flat,sector 89,1103.0,,,1,0,0,0,0,relatively new,0,1,52
Emaar Imperial Gardens,1.85,9135,3,3,3+,0.0,South-West,flat,sector 102,,,2025.0,0,0,1,0,0,relatively new,80,2,41
La Vida by Tata Housing,2.85,12855,3,3,3+,10.0,East,flat,sector 113,2217.0,,,0,0,1,0,0,New Property,60,1,41
M3M Golfestate,6.15,18331,3,4,2,20.0,North-East,flat,sector 65,,3355.0,2200.0,1,0,0,0,0,,0,1,51
Central Park Resort Belgravia Residences,6.25,24300,3,5,3+,5.0,South-East,flat,sector 48,,,2880.0,0,0,1,0,0,old property,28,2,35
Apex builders,0.42,5600,2,2,2,4.0,North,flat,sector 37c,,,750.0,1,0,0,0,0,relatively new,24,1,21
Ompee K S Residency,1.6,26936,2,2,2,1.0,,flat,sector 110,,,594.0,1,0,0,0,0,relatively new,0,1,53
Bhawna CGHS,3.25,10156,4,4,3+,12.0,,flat,sector 43,3200.0,,3000.0,0,0,0,1,0,old property,78,2,33
Sare Green Parc,0.85,6538,3,2,2,20.0,,flat,sector 92,,1300.0,,1,0,0,0,0,,0,1,42
Chintels Paradiso,1.8,8866,3,3,2,0.0,East,flat,sector 109,2030.0,,1785.0,0,0,1,0,0,old property,60,1,25
Ashiana Mulberry,0.74,6200,2,2,3+,12.0,North-West,flat,sohna,,,1210.0,1,0,0,0,0,New Property,61,1,25
Mapsko Casa Bella,1.3,6378,4,4,3+,1.0,North,flat,sector 82,1960.0,,,0,0,1,0,0,relatively new,111,1,33
Pooja Apartment,0.25,3571,2,2,2,2.0,East,flat,sector 5,,,700.0,1,0,0,0,0,relatively new,0,1,43
Signature Global Park,0.95,7846,3,2,3+,1.0,,flat,sohna,,1210.73,756.0,1,0,0,0,0,relatively new,45,1,42
DLF New Town Heights 1,1.99,7297,4,4,3+,9.0,East,flat,sector 90,,,2727.0,0,0,1,1,0,relatively new,88,2,25
Paras Dews,1.05,7581,2,2,2,5.0,West,flat,sector 106,,,1385.0,1,0,0,0,0,New Property,89,1,52
Godrej Air,1.83,10005,3,3,3+,18.0,,flat,sector 85,,,1829.0,1,0,0,0,0,relatively new,92,1,41
DLF The Primus,2.25,10714,3,3,3+,29.0,East,flat,sector 82a,,,2100.0,0,0,1,0,0,relatively new,62,0,23
DLF Regency Park 1,1.6,14545,2,2,2,3.0,North,flat,sector 28,,,1100.0,1,0,0,0,0,relatively new,59,1,33
Supertech Araville,0.83,5424,2,2,3,5.0,North-East,flat,sector 79,,,1530.0,0,1,0,0,0,New Property,28,0,5
Maxworth City Residences,0.8,6400,2,3,2,9.0,,flat,sector 10a,,,1250.0,1,0,0,0,0,New Property,40,1,14
Deepak Minda,1.25,4715,4,4,3+,6.0,,flat,manesar,,,2651.0,1,0,0,0,0,old property,27,1,14
Shree Shyam residency,0.23,5000,1,1,1,2.0,South,flat,sector 21,,,460.0,1,0,0,0,0,relatively new,7,1,34
Pivotal Devaan,0.3,6666,1,1,1,14.0,,flat,sector 84,,,450.0,1,0,0,0,0,New Property,12,2,36
CHD Avenue 71,0.79,6594,2,2,2,8.0,South-East,flat,sector 71,1198.0,,,0,0,0,0,1,relatively new,0,1,30
Sare Crescent Parc Royal Greens Phase 1,0.95,5007,4,5,3+,4.0,,flat,sector 92,1897.0,,,0,0,1,0,0,old property,23,1,5
Umang Winter Hills,0.99,7857,2,2,2,1.0,North,flat,sector 77,1260.0,,1000.0,1,0,0,0,0,relatively new,72,1,49
Ramprastha Skyz,1.1,6376,3,3,3+,7.0,East,flat,sector 37d,1725.0,,,1,0,0,0,0,relatively new,105,1,21
4S Aradhya Homes,1.9,8863,4,4,3,3.0,,flat,sector 67a,2200.0,,,1,0,0,0,0,New Property,46,2,42
BPTP Freedom Park Life,2.5,11111,3,3,3,9.0,,flat,sector 57,2250.0,,,1,0,0,0,0,old property,0,1,9
Godrej Habitat,1.1,10410,2,2,2,14.0,,flat,sector 3,1056.0,,,1,0,0,0,0,relatively new,0,1,52
Ramsons Kshitij,0.29,5178,2,2,2,14.0,,flat,sector 95,560.0,,,1,0,0,0,0,relatively new,46,1,0
Raheja Sampada,0.65,4744,3,2,3,6.0,North-East,flat,sector 92,1370.0,,,1,0,0,0,0,relatively new,28,1,27
Signature The Serenas,0.5,9406,2,2,2,6.0,,flat,sohna,,,531.0,1,0,0,0,0,New Property,23,1,34
Pareena Laxmi Apartments,0.32,5521,2,2,1,2.0,,flat,sector 99a,575.0,,570.0,1,0,0,0,0,New Property,44,1,39
Satya The Hermitage,0.93,6404,2,3,3,3.0,East,flat,sector 103,,,1452.0,0,0,1,0,0,relatively new,79,2,50
Smart World Gems,1.2,8432,3,3,2,2.0,North-East,flat,sector 89,,,1423.0,1,0,0,0,0,New Property,27,1,52
GLS Arawali Homes,0.3,4687,2,2,2,4.0,,flat,sohna,,,640.0,1,0,0,0,0,relatively new,43,1,7
Signature Global Park,0.56,6812,2,2,3,3.0,South,flat,sohna,,,822.0,1,0,0,0,0,New Property,87,1,42
Bestech Park View City 2,2.7,12505,3,4,3+,6.0,,flat,sector 49,2159.0,,,1,0,0,0,0,old property,0,1,52
AFNHB Jalvayu Vihar,1.45,11153,3,2,2,2.0,North,flat,sector 30,,1300.0,1090.0,1,0,0,0,0,,63,0,29
M3M Soulitude,1.25,8784,3,3,0,4.0,,flat,sector 89,,1423.0,1190.0,1,0,0,0,0,,0,1,32
Pyramid Elite,0.46,79,2,2,1,0.0,,flat,sector 86,,,58141.0,1,0,0,0,0,Under Construction,11,1,41
HCBS Sports Ville,0.28,3768,2,2,1,11.0,East,flat,sohna,,743.0,643.0,1,0,0,0,0,relatively new,23,1,0
Brisk Lumbini Terrace Homes,1.38,6338,3,3,1,4.0,,flat,sector 109,,,2177.0,1,0,0,0,0,old property,11,1,19
HUDA Ashok Vihar Phase 1,0.43,6615,2,2,1,2.0,,flat,sector 3a,,,650.0,1,0,0,0,0,relatively new,5,1,34
My Home,0.28,3166,2,1,1,2.0,,flat,sector 2,,,900.0,0,0,0,0,1,relatively new,8,1,53
M3M Heights,2.0,13957,2,2,2,32.0,,flat,sector 65,,1433.0,1000.0,1,0,0,0,0,,0,1,52
Signature Global Park,0.9,8035,3,2,2,2.0,South,flat,sohna,1120.0,,,1,0,0,0,0,,118,1,42
Signature Global Park,0.9,8036,3,2,0,2.0,,flat,sector 36 sohna,,1120.0,,1,0,0,0,0,relatively new,0,1,42
Godrej Nature Plus,1.75,8768,3,3,0,2.0,,flat,sector-33 sohna,,1996.0,,1,0,0,0,0,,0,1,41
DLF New Town Heights 1,1.8,6600,4,4,3+,23.0,,flat,sector 90,2727.0,,,1,0,0,0,0,old property,0,1,25
Central Park Flower Valley Aqua Front Towers,2.1,11738,3,3,2,6.0,,flat,sector-33 sohna,1789.0,,,1,0,0,0,0,Under Construction,36,1,28
Ambience Creacions,2.0,14492,2,2,2,9.0,East,flat,sector 22,,,1380.0,1,0,0,0,0,relatively new,28,1,49
Signature Global City 63A,2.0,12800,3,3,2,1.0,North,flat,sector 63a,,1540.0,,1,0,0,0,0,,21,1,43
M3M Skycity,2.85,15590,3,3,3,43.0,South,flat,sector 65,1828.0,,,1,0,0,0,0,,93,1,43
Smart World Orchard,1.65,13750,2,2,2,1.0,,flat,sector 61,,,1200.0,0,1,0,0,0,relatively new,34,1,51
HCBS Sports Ville,0.24,7407,1,1,2,1.0,North,flat,sohna,,,324.0,1,0,0,0,0,New Property,63,1,0
Godrej Nature Plus,1.9,9849,3,3,3+,14.0,,flat,sector-33 sohna,,,1929.0,0,0,1,0,0,New Property,78,1,41
Godrej Aria,1.1,11482,2,2,3,9.0,,flat,sector 79,957.907,,,1,0,0,0,0,New Property,0,1,49
Ramsons Kshitij,0.32,4500,2,2,1,8.0,,flat,sector 95,700.0,,443.0,0,0,0,0,1,relatively new,18,0,0
Conscient One,1.7,17617,1,1,2,9.0,,flat,sector 109,,965.0,628.0,1,0,0,0,0,,0,1,19
